Co Code,Bus Entity,Profit Centre,Project Code,Project,Project Region Old,SegForSegReprt_SEGMENT,Division,Post Code,City,District,Postal Area,Street,Project Type,CompanyGroup,Company Group_Old,Profit Center Name,Profit Center Long Name,Profit Center Short Name,Profit Center Source,Project Region,Region Code,Inventory Status,Company Group,Company,FLAG1,FLAG2,FLAG3
1100,NGGSP1,LTNGGSP02,La Vida,La Vida,North,R120,Premium Homes,122017,Gurgaon,Gurgaon,,"Village Bajghera, Sector 113",Residential,TH,Tata Housing,LT-Sector113 Prem 2,Lemon Tree - Sector 113 - Premium Ph2,LT-SECTOR113 PREM 2,SAP,North,N,ONGOING,Tata Housing,Gatevida Developers P Ltd,,,
1050,WTHSL1,APWTHSL01,Thane,Serein,West,R130,Luxury Homes,400610,Thane,Thane,,"Pokhran Road No 2, Thane West",Residential,TH,Tata Housing,APPL-Serein Th Ph1,Ardent Properties - Serein Thane Ph1,APPL-SEREIN TH PH1,SAP,West,W,ONGOING,Tata Housing,Ardent Properties Pvt Ltd,,,
1000,NGGEW1,THNGGEW01,Gurgaon Pr,Primanti,North,R100,Value Homes,122001,Gurgaon,Gurgaon,,"Village Fazalpur, Jharsa",Residential,TH,Tata Housing,GG Primanti -EWS ph1,Gurgaon Primanti - EWS ph1,GG PRIMANTI -EWS PH1,SAP,North,N,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,X,
1000,NGGEW1,THNGGEW02,Gurgaon Pr,Primanti,North,R100,Value Homes,122001,Gurgaon,Gurgaon,,"Village Fazalpur, Jharsa",Residential,TH,Tata Housing,GG Primanti -EWS ph2,Gurgaon Primanti - EWS ph2,GG PRIMANTI -EWS PH2,SAP,North,N,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,X,
3000,SORPD1,TVSORCE01,Crescent,Crescent Enclave,South,R110,Affortable Homes,600034,Chennai,Nungambakkam,,"Walajabad Main Road,",Residential,TV,Tata Value Homes,Crescent Enclave-Ph1,"Crescent Enclave,Oragadam Affordable Ph1",CRESCENT ENCLAVE-PH1,SAP,South,S,COMPLETED,Tata Value Homes,Tata Value Homes Limited,,X,
1071,EALTL1,KOEALTL01,Alipore,88 East,East,R130,Luxury Homes,700027,Kolkata,Kolkata,,"34, DH Road, Near Majarhat bridge",Residential,TH,Tata Housing,Kolkata-One Alipore1,Kolkata-One Excelton -Alipore ph1,KOLKATA-ONE ALIPORE1,SAP,East,E,ONGOING,Tata Housing,Kolkata-One Excelton PLTD,,,
3060,NNDEA1,LKNSGEU01,LandKart,Eureka Park,North,R110,Affortable Homes,201310,Noida,Gautam Buddha Nagar,,"SC 02, A1, Sector-150",Residential,TV,Tata Value Homes,LK Eureka Park - Ph1,Lank Kart Eureka  Park - Ph1,LK EUREKA PARK - PH1,SAP,North,N,ONGOING,Tata Value Homes,Land KartBuilders Pvt Ltd,,,
3060,NNDEA1,LKNSGEU02,LandKart,Eureka Park,North,R110,Affortable Homes,201310,Noida,Gautam Buddha Nagar,,"SC 02, A1, Sector-150",Residential,TV,Tata Value Homes,LK Eureka Park - Ph2,Lank Kart Eureka  Park - Ph2,LK EUREKA PARK - PH2,SAP,North,N,ONGOING,Tata Value Homes,Land KartBuilders Pvt Ltd,,,
5100,SKOTR1,TRSKOKO07,TRITVAM,Tritvam,South,C120,Commercial,682018,Kochi,Ernakulam,,"GIDA Road, Marine Drive",Residential,TR,Tata Realty,RE NF N SEZ Common,RE NF N SEZ Common,RE NF N SEZ COMMON,SAP,South,S,ONGOING,Tata Realty,TATA Realty & Infra Ltd.,,,
1100,NGGSE1,GVNGGES01,La Vida,La Vida,North,E100,Education/School,122017,Gurgaon,Gurgaon,,"Village Bajgira , Sector 113",Residential,TH,Tata Housing,Gate Vida -Edu/S Ph1,Gate Vida - Education/ School Ph1,GATE VIDA -EDU/S PH1,SAP,North,N,ONGOING,Tata Housing,Gatevida Developers P Ltd,,,
1150,SOBLP8,OBSBGPD02,OBLP,SWARAM,South,R130,Luxury Homes,562157,Bangalore,Bangalore Rural,BANGALORE,"Shettigere,Doddajala",Residential,TH,Tata Housing,OBLP- Plotted Dev 02,OBLP- Plotted Development  Ph2,OBLP- PLOTTED DEV 02,SAP,South,S,NOINVSTATUS,Tata Housing,One Bangalore Lux Pro LLP,,,
3000,WTGLA4,TVWTGLA04,Talegaon,La Montana,West,R110,Affortable Homes,412106,PUNE,Talegaon,,"MIDC Gate Chowk, Talegaon",Residential,TV,Tata Value Homes,"La Montana, Tale Ph4","La Montana, Talegaon ph4","LA MONTANA, TALE PH4",SAP,West,W,ONGOING,Tata Value Homes,Tata Value Homes Limited,,,
1100,NGGSP2,LTNGGSP03,La Vida,La Vida,North,R120,Premium Homes,122017,Gurgaon,Gurgaon,,"La Vida, Bajgera Road, Sector 113",Residential,TH,Tata Housing,Gatevita Sec113 ph2,Gatevita - Sector 113 - Premium Ph2,GATEVITA SEC113 PH2,SAP,North,N,ONGOING,Tata Housing,Gatevida Developers P Ltd,,,
1000,ERHEP1,THEKLEP01,Kolk Eden,Eden Court,East,R120,Premium Homes,412106,PUNE,Talegaon,,"MIDC Gate Chowk, Talegaon",Residential,TH,Tata Housing,Kolk Eden Prim PH1,Kolkata Eden Court Primo PH1,KOLK EDEN PRIM PH1,SAP,East,E,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,X,
1000,,THECO0000,PINKSML02P,East India Common,East,ROEI,Regional Office Eastern India,NULL,NULL,NULL,NULL,NULL,Residential,TH,Tata Housing,East India Common,East India Common,EAST INDIA COMMON,SAP,East,E,NULL,Tata Housing,Tata Housing Dev Co. Ltd,X,,
1000,,THEKLE000,Eden Court,Kolkata Eden Court Common Project,East,ROEI,Regional Office Eastern India,NULL,NULL,NULL,NULL,NULL,Residential,TH,Tata Housing,Kolk Eden Court Com,Kolkata Eden Court Common Project,KOLK EDEN COURT COM,SAP,East,E,NULL,Tata Housing,Tata Housing Dev Co. Ltd,X,X,
1000,,THNCO0000,RONI Com.,North India Common,North,RONI,Regional Office North India,NULL,NULL,NULL,NULL,NULL,Residential,TH,Tata Housing,North India Common,North India Common,NORTH INDIA COMMON,SAP,North,N,NULL,Tata Housing,Tata Housing Dev Co. Ltd,X,,
1000,,THWCO0000,ROWI,Western India Common,West,ROWI,Regional Office Western Region,NULL,NULL,NULL,NULL,NULL,Residential,TH,Tata Housing,Western India Common,Western India Common,WESTERN INDIA COMMON,SAP,West,W,NULL,Tata Housing,Tata Housing Dev Co. Ltd,X,,
1090,,PINCO0000,RONI Com.,RONI Common,North,RONI,Regional Office North India,NULL,NULL,NULL,NULL,NULL,Residential,TH,Tata Housing,RONI Common,RONI Common,RONI COMMON,SAP,North,N,NULL,Tata Housing,Princeton Infra Pvt. Ltd.,X,,
1100,,LTNCO0000,GATE VIDA,Nort India Common - Lemon Tree,North,CORP,Corporate,NULL,NULL,NULL,NULL,NULL,Residential,TH,Tata Housing,Nort India Common,Nort India Common - Lemon Tree,NORT INDIA COMMON,SAP,North,N,NULL,Tata Housing,Gatevida Developers P Ltd,X,,
5380,NA,MRNGGMR03,MIKADO,Intellion Park Gurgaon,North,C120,Commercial,NULL,NULL,NULL,NULL,NULL,Commercial,TR,Tata Realty,Intellion Park (MIKA,Intellion Park (MIKADO II),INTELLION PARK (MIKA,SAP,North,N,NULL,Tata Realty,Mikado Realtors Pvt Ltd,,,
5380,NA,MRNGGMR04,MIKADO,Intellion Park Gurgaon,North,C120,Commercial,NULL,NULL,NULL,NULL,NULL,Commercial,TR,Tata Realty,Intellion Park (MIKA,Intellion Park (MIKADO Common),INTELLION PARK (MIKA,SAP,North,N,NULL,Tata Realty,Mikado Realtors Pvt Ltd,,,
5390,NA,IMWMUIM01,IMCC,Intellion Park Navi Mumbai,West,C120,Commercial,NULL,NULL,NULL,NULL,NULL,Commercial,TR,Tata Realty,INTELLION PARK Commo,INTELLION PARK Common Project,INTELLION PARK COMMO,SAP,West,W,NULL,Tata Realty,INDUSTRIAL MINERALS & CHE,,,
5390,NA,IMWNMDC01,IMCC,Intellion Park Navi Mumbai,West,C120,Commercial,NULL,NULL,NULL,NULL,NULL,Commercial,TR,Tata Realty,INTEL PARK DC ph2,INTELLION PARK Data Center Ph2,INTEL PARK DC PH2,SAP,West,W,NULL,Tata Realty,INDUSTRIAL MINERALS & CHE,,,
5390,NA,IMWNMIP01,IMCC,Intellion Park Navi Mumbai,West,C120,Commercial,NULL,NULL,NULL,NULL,NULL,Commercial,TR,Tata Realty,INTEL PARK Comm ph1,INTELLION PARK Commercial Ph01,INTEL PARK COMM PH1,SAP,West,W,NULL,Tata Realty,INDUSTRIAL MINERALS & CHE,,,
5170,NA,TCSBGTC02,TCL,Intellion Edge Yeswanthpur,South,C120,Commercial,NULL,NULL,NULL,NULL,NULL,Commercial,TR,Tata Realty,NF-NSEZ-Comm,RE NF N SEZ Common,NF-NSEZ-COMM,SAP,South,S,NULL,Tata Realty,TRIL Constructions Ltd,,,
5330,NA,TISCHTI01,RITC,Intellion Park Ramanujan,South,C120,Commercial,NULL,NULL,NULL,NULL,NULL,Commercial,TR,Tata Realty,Hewlett packard,Hewlett packard,HEWLETT PACKARD,SAP,South,S,NULL,Tata Realty,TRIL Infopark Limited,,,
5330,NA,TISCHTI13,RITC,Intellion Park Ramanujan,South,C120,Commercial,NULL,NULL,NULL,NULL,NULL,Commercial,TR,Tata Realty,Processing Zone,Processing Zone,PROCESSING ZONE,SAP,South,S,NULL,Tata Realty,TRIL Infopark Limited,,,
5370,NA,IINGGII01,IIPL,Trilium Avenue Gurgaon,North,C140,Multi Level Car Park,NULL,NULL,NULL,NULL,NULL,Commercial,TR,Tata Realty,Inter Infra Common,Common - International Infrabid pvt ltd,INTER INFRA COMMON,SAP,North,N,NULL,Tata Realty,International Infrabuild,,,
5380,NA,MRNGGMR01,MIKADO,Intellion Park Gurgaon,North,C100,Retail / Shopping,NULL,NULL,NULL,NULL,NULL,Commercial,TR,Tata Realty,Common - Mikado Real,Common - Mikado Realtors Pvt ltd,COMMON - MIKADO REAL,SAP,North,N,NULL,Tata Realty,Mikado Realtors Pvt Ltd,,,
5380,NA,MRNGGMR02,MIKADO,Intellion Park Gurgaon,North,C120,Commercial,NULL,NULL,NULL,NULL,NULL,Commercial,TR,Tata Realty,Intellion Park (MIKA,Intellion Park (MIKADO I B),INTELLION PARK (MIKA,SAP,North,N,NULL,Tata Realty,Mikado Realtors Pvt Ltd,,,
5110,NA,GRNGGGR02,GRL,Intellion Edge Gurgaon,North,C120,Commercial,NULL,NULL,NULL,NULL,NULL,Commercial,TR,Tata Realty,Gurgoan Realtec,Gurgoan Realtec,GURGOAN REALTEC,SAP,North,N,NULL,Tata Realty,Gurgaon Realtech Ltd.,,,
5120,NA,GCNGGGC01,GCW,Intellion Edge Gurgaon,North,C120,Commercial,NULL,NULL,NULL,NULL,NULL,Commercial,TR,Tata Realty,TRPL - MAJEL,Madhucon Agra Jaipur Expressways Pvt Ltd,TRPL - MAJEL,SAP,North,N,NULL,Tata Realty,Gurgaon Construct Well,,,
5120,NA,GCNGGGC02,GCW,Intellion Edge Gurgaon,North,C120,Commercial,NULL,NULL,NULL,NULL,NULL,Commercial,TR,Tata Realty,Gurgaon Construct,RE F N SEZ Resi Gurgaon Construct Common,GURGAON CONSTRUCT,SAP,North,N,NULL,Tata Realty,Gurgaon Construct Well,,,
5130,NA,ITWMLIT01,IT4,Intellion Square Mumbai,West,C120,Commercial,NULL,NULL,NULL,NULL,NULL,Commercial,TR,Tata Realty,RE F SEZ Corp TRIF R,RE F SEZ Corp TRIF Realty Corp,RE F SEZ CORP TRIF R,SAP,West,W,NULL,Tata Realty,TRIL IT4 Private Limited,,,
5140,NA,AINGGAI01,Arrow,Intellion Edge Gurgaon,North,C120,Commercial,NULL,NULL,NULL,NULL,NULL,Commercial,TR,Tata Realty,Arrow Infra,RE F N SEZ Resi Arrow Infra Corp,ARROW INFRA,SAP,North,N,NULL,Tata Realty,Arrow Infra Estates Pvt L,,,
5170,NA,TCSBGTC01,TCL,Intellion Edge Yeswanthpur,South,C120,Commercial,NULL,NULL,NULL,NULL,NULL,Commercial,TR,Tata Realty,TRIL Const,RE F N SEZ Resi TRIL Const Corp,TRIL CONST,SAP,South,S,NULL,Tata Realty,TRIL Constructions Ltd,,,
3010,NA,ASWAHSG02,Arvind LLP,NH Compact,West,R100,Value Homes,NULL,NULL,NULL,NULL,NULL,Residential,TV,Tata Value Homes,"SG, Ahmedabad PH2",Ahmedabad  Shubh Griha Ph2,"SG, AHMEDABAD PH2",SAP,West,W,NULL,Tata Value Homes,Arvind & Smart Value Home,,,
3020,NA,SVPCC0000,Peenya,NH Peenya,South,ROSI,Regional Office South India,NULL,NULL,NULL,NULL,NULL,Residential,TV,Tata Value Homes,SVH-Peenya-Corp. Co.,SVH- Peenya - Corporate Common PC.,SVH-PEENYA-CORP. CO.,SAP,South,S,NULL,Tata Value Homes,SVH (Peenya Project) PL,,,
3030,NA,TVWBRNH1,Boisar II,NH Boisar II,West,R110,Affortable Homes,NULL,NULL,NULL,NULL,NULL,Residential,TV,Tata Value Homes,BoisarII -Affd. PH1C,Boisar II - Affordable PH 1C,BOISARII -AFFD. PH1C,SAP,West,W,NULL,Tata Value Homes,SVH (Boisar) PL,,,
5100,NA,TRSKOHO01,TRITVAM,Tritvam,South,CORP,Corporate,NULL,NULL,NULL,NULL,NULL,Residential,TR,Tata Realty,Kochi Common,Kochi Common,KOCHI COMMON,SAP,South,S,NULL,Tata Realty,TATA Realty & Infra Ltd.,,,
5100,NA,TRSKOKO01,TRITVAM,Tritvam,South,R120,Premium Homes,NULL,NULL,NULL,NULL,NULL,Residential,TR,Tata Realty,TRIF Kochi-A,RE F N SEZ Resi TRIF Kochi Bldg A,TRIF KOCHI-A,SAP,South,S,NULL,Tata Realty,TATA Realty & Infra Ltd.,,,
5110,NA,GRNGGGR01,GRL,Intellion Edge Gurgaon,North,C120,Commercial,NULL,NULL,NULL,NULL,NULL,Commercial,TR,Tata Realty,Gurgaon Real,RE F N SEZ Resi Gurgaon Real Corp,GURGAON REAL,SAP,North,N,NULL,Tata Realty,Gurgaon Realtech Ltd.,,,
3010,NA,ASWAHNC03,Arvind LLP,NH Compact,West,R110,Affortable Homes,NULL,NULL,NULL,NULL,NULL,Residential,TV,Tata Value Homes,Ahbad NH Compact -C3,Ahmedabad New Haven -Compact (Cluster 3),AHBAD NH COMPACT -C3,SAP,West,W,NULL,Tata Value Homes,Arvind & Smart Value Home,,,
3010,NA,ASWAHNC04,Arvind LLP,NH Compact,West,R110,Affortable Homes,NULL,NULL,NULL,NULL,NULL,Residential,TV,Tata Value Homes,Ahbad NH Compact -C4,Ahmedabad New Haven -Compact (Cluster4),AHBAD NH COMPACT -C4,SAP,West,W,NULL,Tata Value Homes,Arvind & Smart Value Home,,,
3010,NA,ASWAHNH01,Arvind LLP,NH Compact,West,R110,Affortable Homes,NULL,NULL,NULL,NULL,NULL,Residential,TV,Tata Value Homes,Ahbad New Haven ph1,Ahmedabad New Haven ph1,AHBAD NEW HAVEN PH1,SAP,West,W,NULL,Tata Value Homes,Arvind & Smart Value Home,,,
3010,NA,ASWAHNH02,Arvind LLP,NH Compact,West,R110,Affortable Homes,NULL,NULL,NULL,NULL,NULL,Residential,TV,Tata Value Homes,Ahbad New Haven ph2,Ahmedabad New Haven ph2,AHBAD NEW HAVEN PH2,SAP,West,W,NULL,Tata Value Homes,Arvind & Smart Value Home,,,
3010,NA,ASWAHNH03,Arvind LLP,NH Compact,West,R110,Affortable Homes,NULL,NULL,NULL,NULL,NULL,Residential,TV,Tata Value Homes,Ahbad New Haven ph3,Ahmedabad New Haven ph3,AHBAD NEW HAVEN PH3,SAP,West,W,NULL,Tata Value Homes,Arvind & Smart Value Home,,,
3010,NA,ASWAHRT01,Arvind LLP,NH Compact,West,C100,Retail / Shopping,NULL,NULL,NULL,NULL,NULL,Residential,TV,Tata Value Homes,Ahmedabad Retail,Ahmedabad Retail,AHMEDABAD RETAIL,SAP,West,W,NULL,Tata Value Homes,Arvind & Smart Value Home,,,
3000,NA,TVSKUST02,Kutahmbakk,Santorini,South,R110,Affortable Homes,NULL,NULL,NULL,NULL,NULL,Residential,TV,Tata Value Homes,Santorini  Kuthu.Ph2,Santorini  Kuthumbakkam - Ph2,SANTORINI  KUTHU.PH2,SAP,South,S,NULL,Tata Value Homes,Tata Value Homes Limited,,,
3000,NA,TVSMBNH02,Mambakkam,NH Ribbon Walk,South,R110,Affortable Homes,NULL,NULL,NULL,NULL,NULL,Residential,TV,Tata Value Homes,Mambakkam - NH Ph2,Mambakkam - New Haven Ph2,MAMBAKKAM - NH PH2,SAP,South,S,NULL,Tata Value Homes,Tata Value Homes Limited,,,
3000,NA,TVSMBRS01,Mambakkam,NH Ribbon Walk,South,R150,Senior Living,NULL,NULL,NULL,NULL,NULL,Residential,TV,Tata Value Homes,Mambakkam-Riva SL P1,Mambakkam - Riva Senior Living Ph1,MAMBAKKAM-RIVA SL P1,SAP,South,S,NULL,Tata Value Homes,Tata Value Homes Limited,,,
3010,NA,ASCCO0000,Arvind LLP,NH Compact,West,CORP,Corporate,NULL,NULL,NULL,NULL,NULL,Residential,TV,Tata Value Homes,Corporate Common,Corporate Common,CORPORATE COMMON,SAP,West,W,NULL,Tata Value Homes,Arvind & Smart Value Home,,,
3010,NA,ASWAHAL01,Arvind LLP,NH Compact,West,R110,Affortable Homes,NULL,NULL,NULL,NULL,NULL,Residential,TV,Tata Value Homes,Ah'bad Assisted Livg,Ahmedabad Assisted living,AH'BAD ASSISTED LIVG,SAP,West,W,NULL,Tata Value Homes,Arvind & Smart Value Home,,,
3010,NA,ASWAHNC02,Arvind LLP,NH Compact,West,R110,Affortable Homes,NULL,NULL,NULL,NULL,NULL,Residential,TV,Tata Value Homes,Ahbad NH Compact -C2,Ahmedabad New Haven -Compact (Cluster2),AHBAD NH COMPACT -C2,SAP,West,W,NULL,Tata Value Homes,Arvind & Smart Value Home,,,
1090,NA,PINKSC000,"Kausouli,",Myst,North,RONI,Regional Office North India,NULL,NULL,NULL,NULL,NULL,Residential,TH,Tata Housing,Kasauli  Common Proj,Kasauli  Common Project,KASAULI  COMMON PROJ,SAP,North,N,NULL,Tata Housing,Princeton Infra Pvt. Ltd.,,,
1120,NA,PHSBSPL03,Promont Bn,The Promont,South,R130,Luxury Homes,NULL,NULL,NULL,NULL,NULL,Residential,TH,Tata Housing,"The Promont,RH Ph3","The Promont, BS. Row House Ph3","THE PROMONT,RH PH3",SAP,South,S,NULL,Tata Housing,Promont Hilltop Pvt Ltd,,X,
3000,NA,SVSKUC000,Kutahmbakk,Santorini,South,ROSI,Regional Office South India,NULL,NULL,NULL,NULL,NULL,Residential,TV,Tata Value Homes,Kuthum- Chenn Comm,Kuthumbakkam - Chennai Common Project,KUTHUM- CHENN COMM,SAP,South,S,NULL,Tata Value Homes,Tata Value Homes Limited,,,
3000,NA,SVSMBC000,Mambakkam,NH Ribbon Walk,South,ROSI,Regional Office South India,NULL,NULL,NULL,NULL,NULL,Residential,TV,Tata Value Homes,Mambakkam -Common,Mambakkam - Chennai Common Project,MAMBAKKAM -COMMON,SAP,South,S,NULL,Tata Value Homes,Tata Value Homes Limited,,,
3000,NA,SVSORC000,Cresent La,Cresent Lake Homes,South,ROSI,Regional Office South India,NULL,NULL,NULL,NULL,NULL,Residential,TV,Tata Value Homes,"CLH, Oragadam  Commn","CLH, Oragadam  Common Project","CLH, ORAGADAM  COMMN",SAP,South,S,NULL,Tata Value Homes,Tata Value Homes Limited,,,
3000,NA,SVWVSC000,Vasind,NH Vasind,West,ROWI,Regional Office Western Region,NULL,NULL,NULL,NULL,NULL,Residential,TV,Tata Value Homes,Vasind Common Proj,Vasind Common Project,VASIND COMMON PROJ,SAP,West,W,NULL,Tata Value Homes,Tata Value Homes Limited,,X,
1010,NA,ARIMLC000,Apex,"Nadhee, Odeon – 2",International,INTL,International,NULL,NULL,NULL,NULL,NULL,Residential,TH,Tata Housing,Maldives -Com Proj,Maldives -Common Project,MALDIVES -COM PROJ,SAP,International,I,NULL,Tata Housing,APEX Realty Pvt. Ltd.,,,
1010,NA,ARIMLGA02,Apex,"Nadhee, Odeon – 2",International,C100,Retail / Shopping,NULL,NULL,NULL,NULL,NULL,Residential,TH,Tata Housing,Maldives Gaakoshi P2,Maldives Gaakoshi Phase 2,MALDIVES GAAKOSHI P2,SAP,International,I,NULL,Tata Housing,APEX Realty Pvt. Ltd.,,,
1010,NA,ARIMLNP01,Apex,"Nadhee, Odeon – 2",International,R120,Premium Homes,NULL,NULL,NULL,NULL,NULL,Residential,TH,Tata Housing,Maldives Nadhee,Maldives Nadhee,MALDIVES NADHEE,SAP,International,I,NULL,Tata Housing,APEX Realty Pvt. Ltd.,,,
1050,NA,APWTHSL02,Thane,Serein,West,R130,Luxury Homes,NULL,NULL,NULL,NULL,NULL,Residential,TH,Tata Housing,APPL-Serein Th Ph2,Ardent Properties - Serein Thane Ph2,APPL-SEREIN TH PH2,SAP,West,W,NULL,Tata Housing,Ardent Properties Pvt Ltd,,,
1080,NA,KREBSAP03,Ariana Kri,Ariana,East,R120,Premium Homes,NULL,NULL,NULL,NULL,NULL,Residential,TH,Tata Housing,Ariana Premium Ph 3,Ariana Premium Ph 3,ARIANA PREMIUM PH 3,SAP,East,E,NULL,Tata Housing,Kriday Realty Private Ltd,,,
1080,NA,KREBSC000,Ariana Kri,Ariana,East,ROEI,Regional Office Eastern India,NULL,NULL,NULL,NULL,NULL,Residential,TH,Tata Housing,Bhubaneswar Com Proj,Bhubaneswar Common Project,BHUBANESWAR COM PROJ,SAP,East,E,NULL,Tata Housing,Kriday Realty Private Ltd,,,
1000,NA,THNGGPL02,Gurgaon Pr,Primanti,North,R130,Luxury Homes,NULL,NULL,NULL,NULL,NULL,Residential,TH,Tata Housing,Gurgn Prim(Villas)P2,Gurgaon Primanti(Villas) PH2,GURGN PRIM(VILLAS)P2,SAP,North,N,NULL,Tata Housing,Tata Housing Dev Co. Ltd,,X,
1000,NA,THNGGPR01,Gurgaon Pr,Primanti,North,C100,Retail / Shopping,NULL,NULL,NULL,NULL,NULL,Residential,TH,Tata Housing,Gurgaon Retail ph1,Gurgaon Primanti - Retail ph1,GURGAON RETAIL PH1,SAP,North,N,NULL,Tata Housing,Tata Housing Dev Co. Ltd,,X,
1000,NA,THNGGPR02,Gurgaon Pr,Primanti,North,C100,Retail / Shopping,NULL,NULL,NULL,NULL,NULL,Residential,TH,Tata Housing,Gurgaon Retail ph2,Gurgaon Primanti - Retail ph2,GURGAON RETAIL PH2,SAP,North,N,NULL,Tata Housing,Tata Housing Dev Co. Ltd,,X,
1000,NA,THWGOSA05,Goa,Rio De Goa,West,R110,Affortable Homes,NULL,NULL,NULL,NULL,NULL,Residential,TH,Tata Housing,Goa II  Sancoale Ph5,Goa II  Sancoale Ph5,GOA II  SANCOALE PH5,SAP,West,W,NULL,Tata Housing,Tata Housing Dev Co. Ltd,,X,
